element_num,depth,attributes,parent_num
0,0,"bounds=[0,0][0,0]",
1,1,"accessibilityText=Patternly; bounds=[0,0][402,874]; enabled=true; enabled=true",0
2,2,"bounds=[0,0][402,874]; enabled=true; enabled=true",1
3,3,"bounds=[0,0][402,874]; enabled=true; enabled=true",2
4,4,"bounds=[0,0][402,874]; enabled=true; enabled=true",3
5,5,"bounds=[0,0][402,874]; enabled=true; enabled=true",4
6,6,"bounds=[16,291][386,583]; enabled=true; enabled=true",5
7,7,"accessibilityText=End this session?; bounds=[33,308][369,336]; enabled=true; enabled=true",6
8,8,"accessibilityText=End this session?; bounds=[33,308][369,336]; enabled=true; enabled=true",7
9,7,"accessibilityText=Leave and resume later, or abandon it permanently. Answers already saved remain available.; bounds=[33,348][369,388]; enabled=true; enabled=true",6
10,8,"accessibilityText=Leave and resume later, or abandon it permanently. Answers already saved remain available.; bounds=[33,348][369,388]; enabled=true; enabled=true",9
11,7,"accessibilityText=Keep learning; bounds=[33,400][369,450]; enabled=true; enabled=true",6
12,7,"accessibilityText=Leave and resume later; bounds=[33,458][369,508]; enabled=true; enabled=true",6
13,7,"accessibilityText=Abandon session; bounds=[33,516][369,566]; enabled=true; enabled=true",6
14,1,"bounds=[0,0][0,0]",0
15,2,"bounds=[0,0][402,54]; enabled=true; enabled=true",14
16,2,"bounds=[0,0][402,54]; enabled=true; enabled=true",14
17,3,"bounds=[0,0][402,54]; enabled=true; enabled=true",16
18,4,"bounds=[0,0][402,54]; enabled=true; enabled=true",17
19,5,"accessibilityText=20:43; bounds=[50,22][98,42]; enabled=true; enabled=true",18
20,5,"accessibilityText=Sieć komórkowa; value=Brak sygnału; text=Brak sygnału; bounds=[288,26][307,38]; enabled=true; enabled=true",18
21,5,"value=SSID, 3 z 3 paski sygnału Wi‑Fi; text=SSID, 3 z 3 paski sygnału Wi‑Fi; resource-id=3 z 3 paski sygnału Wi‑Fi; bounds=[315,26][332,38]; enabled=true; enabled=true",18
22,5,"accessibilityText=100% baterii; value=Ładowanie nie odbywa się; text=Ładowanie nie odbywa się; bounds=[339,26][366,39]; enabled=true; enabled=true",18
