element_num,depth,attributes,parent_num
0,0,"bounds=[0,0][0,0]",
1,1,"accessibilityText=Patternly; bounds=[0,0][402,874]; enabled=true; enabled=true",0
2,2,"bounds=[0,0][402,874]; enabled=true; enabled=true",1
3,3,"bounds=[0,0][402,874]; enabled=true; enabled=true",2
4,4,"bounds=[0,0][402,874]; enabled=true; enabled=true",3
5,5,"bounds=[0,0][402,874]; enabled=true; enabled=true",4
6,6,"bounds=[0,0][402,874]; enabled=true; enabled=true",5
7,7,"bounds=[0,0][402,874]; enabled=true; enabled=true",6
8,8,"bounds=[0,0][402,874]; enabled=true; enabled=true",7
9,9,"bounds=[0,0][402,874]; enabled=true; enabled=true",8
10,10,"bounds=[0,0][402,874]; enabled=true; enabled=true",9
11,11,"bounds=[0,0][402,874]; enabled=true; enabled=true",10
12,12,"bounds=[0,0][402,874]; enabled=true; enabled=true",11
13,13,"bounds=[0,0][402,874]; enabled=true; enabled=true",12
14,14,"bounds=[0,0][402,874]; enabled=true; enabled=true",13
55,15,"bounds=[0,0][402,874]; enabled=true; enabled=true",14
16,15,"bounds=[0,0][402,874]; enabled=true; enabled=true",14
17,16,"bounds=[0,62][402,874]; enabled=true; enabled=true",16
18,17,"bounds=[0,62][402,874]; enabled=true; enabled=true",17
19,18,"bounds=[0,62][402,874]; enabled=true; enabled=true",18
20,19,"bounds=[0,62][402,874]; enabled=true; enabled=true",19
21,20,"accessibilityText=Patternly; bounds=[60,78][146,106]; enabled=true; enabled=true",20
22,21,"accessibilityText=Patternly; bounds=[60,78][146,106]; enabled=true; enabled=true",21
23,20,"accessibilityText=Algorithms; bounds=[60,108][146,124]; enabled=true; enabled=true",20
24,21,"accessibilityText=Algorithms; bounds=[60,108][146,124]; enabled=true; enabled=true",23
25,20,"bounds=[16,140][386,214]; enabled=true; enabled=true",20
26,21,"accessibilityText=CURRENT TRACK; bounds=[32,156][218,172]; enabled=true; enabled=true",25
27,22,"accessibilityText=CURRENT TRACK; bounds=[32,156][218,172]; enabled=true; enabled=true",26
28,21,"accessibilityText=Change track; bounds=[230,161][369,193]; enabled=true; enabled=true",25
29,21,"accessibilityText=Algorithms; bounds=[32,174][218,198]; enabled=true; enabled=true",25
30,22,"accessibilityText=Algorithms; bounds=[32,174][218,198]; enabled=true; enabled=true",29
31,20,"bounds=[16,230][386,427]; enabled=true; enabled=true",20
32,21,"accessibilityText=CONTINUE LEARNING; bounds=[32,247][369,263]; enabled=true; enabled=true",31
33,22,"accessibilityText=CONTINUE LEARNING; bounds=[32,247][369,263]; enabled=true; enabled=true",32
34,21,"accessibilityText=Complexity and constraints; bounds=[32,279][369,303]; enabled=true; enabled=true",31
35,22,"accessibilityText=Complexity and constraints; bounds=[32,279][369,303]; enabled=true; enabled=true",34
36,21,"accessibilityText=Roadmap item practice for algorithmic problem solving.; bounds=[32,305][369,345]; enabled=true; enabled=true",31
37,22,"accessibilityText=Roadmap item practice for algorithmic problem solving.; bounds=[32,305][369,345]; enabled=true; enabled=true",36
38,21,"accessibilityText=Continue learning; bounds=[32,361][369,411]; enabled=true; enabled=true",31
39,20,"accessibilityText=Recommended today; bounds=[16,443][386,467]; enabled=true; enabled=true",20
40,21,"accessibilityText=Recommended today; bounds=[16,443][386,467]; enabled=true; enabled=true",39
41,20,"accessibilityText=Continue active session, Continue or deliberately abandon the active session., Continue; bounds=[16,479][386,572]; enabled=true; enabled=true",20
44,18,"accessibilityText=Horizontal scroll bar, 1 page; value=0%; text=0%; bounds=[62,841][340,871]; enabled=true; enabled=true",18
45,19,"bounds=[65,868][337,871]; enabled=true; enabled=true",44
44,18,"accessibilityText=Horizontal scroll bar, 1 page; value=0%; text=0%; bounds=[62,841][340,871]; enabled=true; enabled=true",18
45,19,"bounds=[65,868][337,871]; enabled=true; enabled=true",44
46,15,"resource-id=main-tab-bar; bounds=[0,775][402,874]; enabled=true; enabled=true",14
47,15,"accessibilityText=Home; resource-id=main-tab-bar-home; bounds=[12,788][106,840]; enabled=true; selected=true; enabled=true; selected=true",14
48,15,"accessibilityText=Practice; resource-id=main-tab-bar-practice; bounds=[106,788][201,840]; enabled=true; enabled=true",14
49,15,"accessibilityText=Progress; resource-id=main-tab-bar-progress; bounds=[201,788][295,840]; enabled=true; enabled=true",14
50,15,"accessibilityText=Settings; resource-id=main-tab-bar-settings; bounds=[295,788][390,840]; enabled=true; enabled=true",14
54,11,"bounds=[0,0][402,874]; enabled=true; enabled=true",10
55,12,"bounds=[0,0][402,874]; enabled=true; enabled=true",54
53,8,"bounds=[0,0][402,874]; enabled=true; enabled=true",7
54,9,"bounds=[0,0][402,874]; enabled=true; enabled=true",53
55,10,"bounds=[0,0][402,874]; enabled=true; enabled=true",54
56,1,"bounds=[0,0][0,0]",0
57,2,"bounds=[0,0][402,54]; enabled=true; enabled=true",56
58,2,"bounds=[0,0][402,54]; enabled=true; enabled=true",56
59,3,"bounds=[0,0][402,54]; enabled=true; enabled=true",58
60,4,"bounds=[0,0][402,54]; enabled=true; enabled=true",59
61,5,"accessibilityText=20:46; bounds=[50,22][98,42]; enabled=true; enabled=true",60
62,5,"accessibilityText=Sieć komórkowa; value=Brak sygnału; text=Brak sygnału; bounds=[288,26][307,38]; enabled=true; enabled=true",60
63,5,"value=SSID, 3 z 3 paski sygnału Wi‑Fi; text=SSID, 3 z 3 paski sygnału Wi‑Fi; resource-id=3 z 3 paski sygnału Wi‑Fi; bounds=[315,26][332,38]; enabled=true; enabled=true",60
64,5,"accessibilityText=100% baterii; value=Ładowanie nie odbywa się; text=Ładowanie nie odbywa się; bounds=[339,26][366,39]; enabled=true; enabled=true",60
